Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	273.827584	5488	12.88344316316345997391	6.79182872926202537084	-0.00006723296371591066
	275.232512	5488	12.88931321053042198307	6.79490751714081325004	0.00046260289456111270
	276.637440	5488	12.89518328953650847576	6.79798630501960112881	0.00110633960097594149
	278.042368	5488	12.90105340020083584448	6.80106509289838900758	0.00186404597454661330
	279.447296	5488	12.90692354254251559761	6.80414388077717688635	0.00273579081669685902
	280.852224	5488	12.91279371658065439499	6.80722266865596476512	0.00372164291140985037
	282.257152	5489	12.91866392233435405831	6.81030145653475264388	0.00097115340767353608
	283.662336	5489	12.92453415982271154507	6.81338024441354052265	-0.00166509132790009320
	285.067520	5488	12.93040442906481902845	6.81645903229232840185	-0.00033650494591597324
	286.472448	5488	12.93627473007976379574	6.81953782017111628062	0.00110646365028937176
	287.877376	5488	12.94214506288662843835	6.82261660804990415939	0.00266388315804421791
	289.282304	5489	12.94801542750449070262	6.82569539592869203816	0.00048530463967043667
	290.687488	5489	12.95388582395242354182	6.82877418380747991692	-0.00157868562463447172
	292.092672	5489	12.95975625224949521423	6.83185297168626779569	-0.00352801898913710222
	293.497856	5488	12.96562671241476919978	6.83493175956505567489	-0.00151210920774674455
	294.902784	5488	12.97149720446730423746	6.83801054744384355366	0.00061859471343244178
	296.307712	5488	12.97736772842615437032	6.84108933532263143243	0.00286416136894991589
	297.712640	5489	12.98323828431036890910	6.84416812320141931120	0.00137414171876524828
	299.117824	5489	12.98910887213899248687	6.84724691108020718996	-0.00000087805887543659
	300.523008	5489	12.99497949193106506854	6.85032569895899506873	-0.00126082942010904262
	301.928192	5489	13.00085014370562192226	6.85340448683778294750	-0.00240564383795954181
	303.333376	5489	13.00672082748169368881	6.85648327471657082627	-0.00343525280212272775
	304.738560	5488	13.01259154327830634430	6.85956206259535870547	-0.00049907020152057276
	306.143488	5488	13.01846229111448125567	6.86264085047414658424	0.00255245482319970977
	307.548416	5489	13.02433307100923516337	6.86571963835293446301	0.00186887311474424358
	308.953600	5489	13.03020388298158017612	6.86879842623172234177	0.00130077073426504466
