Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	1136.023552	5513	7.49629270920076868669	-0.00032607504154861868
	1137.434880	5513	7.50218925837853201251	-0.00065266073770513952
	1138.846208	5513	7.50808585008691016689	-0.00082613622046620765
	1140.257536	5513	7.51398248434524416300	-0.00084643186220527968
	1141.668864	5513	7.51987916117287233213	-0.00071347804491761134
	1143.080192	5513	7.52577588058913042601	-0.00042720515989598999
	1144.491520	5513	7.53167264261335152147	0.00001245639192263464
	1145.902848	5513	7.53756944726486608106	0.00060557620021991888
	1147.314176	5513	7.54346629456300198785	0.00135222384536321502
	1148.725504	5513	7.54936318452708448115	0.00225246889822107421
	1150.136832	5513	7.55526011717643622076	0.00330638092035892520
	1151.548160	5514	7.56115709253037728173	0.00066351184649279666
	1152.959744	5514	7.56705411060822511621	-0.00182555116298925716
	1154.371328	5513	7.57295117142929462631	-0.00031022095687371563
	1155.782656	5513	7.57884827501289814501	0.00135905437167403670
	1157.193984	5513	7.58474542137834542403	0.00318234433775972452
	1158.605312	5514	7.59064261054494366157	0.00130920082972353478
	1160.016896	5514	7.59653984253199750405	-0.00040978903813159745
	1161.428480	5514	7.60243711735880906694	-0.00197455577819000340
	1162.840064	5514	7.60833443504467789135	-0.00338502991210559182
	1164.251648	5513	7.61423179560890104126	-0.00079062435288657735
	1165.662976	5513	7.62012919907077299064	0.00195821274201283034
	1167.074304	5514	7.62602664544958574327	0.00101103320623224729
	1168.485888	5514	7.63192413476462879623	0.00021842409953617142
	1169.897472	5514	7.63782166703518909136	-0.00041954514508761877
	1171.309056	5514	7.64371924228055111064	-0.00090280510350161087
	1172.720640	5514	7.64961686051999685022	-0.00123128636053037500
	1174.132224	5514	7.65551452177280578743	-0.00140491951004442603
	1175.543808	5514	7.66141222605825496055	-0.00142363515470304597
	1176.955392	5514	7.66730997339561892202	-0.00128736390612759931
	1178.366976	5514	7.67320776380416973324	-0.00099603638489594223
	1179.778560	5514	7.67910559730317704777	-0.00054958322025170002
	1181.190144	5514	7.68500347391190800211	0.00005206494949878482
	1182.601728	5514	7.69090139364962737181	0.00080897747754553441
	1184.013312	5514	7.69679935653559739450	0.00172122370794317300
	1185.424896	5514	7.70269736258907796247	0.00278887297630418847
	1186.836480	5515	7.70859541182932649604	0.00016147699177184436
	1188.248320	5515	7.71449350427559800945	-0.00231037731003908316
	1189.660160	5514	7.72039163994714510569	-0.00077610300217399619
	1191.071744	5514	7.72628981886321799036	0.00091385159851865229
	1192.483328	5514	7.73218804104306443002	0.00275955578402060046
	1193.894912	5515	7.73808630650592984071	0.00091056122024131025
	1195.306752	5515	7.74398461527105724800	-0.00078254520034319984
	1196.718592	5515	7.74988296735768727140	-0.00231969421151368456
	1198.130432	5515	7.75578136278505819029	-0.00370081655545949011
	1199.542272	5514	7.76167980157240587277	-0.00107532536548386337
	1200.953856	5514	7.76757828373896386763	0.00170633098160880215
	1202.365440	5515	7.77347680930396337309	0.00079370410057197658
	1203.777280	5515	7.77937537828663319694	0.00003738083268655089
	1205.189120	5515	7.78527399070619981029	-0.00056256960676058872
	1206.600960	5515	7.79117264658188741003	-0.00100607801065633311
	1208.012800	5515	7.79707134593291780779	-0.00129307518047507077
	1209.424640	5515	7.80297008877851049069	-0.00142349192607182755
	1210.836480	5515	7.80886887513788266121	-0.00139725906550895123
	1212.248320	5515	7.81476770503024917996	-0.00121430742529651681
	1213.660160	5515	7.82066657847482264720	-0.00087456784006805892
	1215.072000	5515	7.82656549549081331264	-0.00037797115292720267
	1216.483840	5515	7.83246445609742917605	0.00027555178493251207
	1217.895680	5515	7.83836346031387592136	0.00108607011396486218
	1219.307520	5515	7.84426250815935699988	0.00205365296658961797
	1220.719360	5515	7.85016159965307354189	0.00317836946689063892
	1222.131200	5516	7.85606073481422442772	0.00060977111325409318
	1223.543296	5516	7.86195991366200626523	-0.00180155536894798315
	1224.955392	5515	7.86785913621561347302	-0.00020502326225456254
	1226.367232	5515	7.87375840249423814346	0.00154891890730541753
	1227.779072	5515	7.87965771251707015020	0.00346034022327678965
	1229.190912	5516	7.88555706630329716032	0.00167879214369119200
	1230.603008	5516	7.89145646387210458923	0.00005486135361644813
	1232.015104	5516	7.89735590524267561628	-0.00141138308750462914
	1233.427200	5516	7.90325539043419123854	-0.00271987212808432737
	1234.839296	5515	7.90915491946583021528	-0.00002001910702266312
	1236.251136	5515	7.91505449235676912176	0.00283772739378796495
	1237.662976	5516	7.92095410912618230585	0.00200291878442674238
	1239.075072	5516	7.92685376979324194703	0.00132614170231653513
	1240.487168	5516	7.93275347437711804942	0.00080746515946205869
	1241.899264	5516	7.93865322289697841925	0.00044695815997379246
	1243.311360	5516	7.94455301537198868220	0.00024468970010711543
	1244.723456	5516	7.95045285182131229555	0.00020072876829026033
	1246.135552	5516	7.95635273226411059849	0.00031514434536471881
	1247.547648	5516	7.96225265671954269588	0.00058800540409324938
	1248.959744	5516	7.96815262520676562998	0.00101938090983636649
	1250.371840	5516	7.97405263774493423996	0.00160933982001003111
	1251.783936	5516	7.97995269435320124345	0.00235795108440432741
	1253.196032	5516	7.98585279505071723820	0.00326528364516109946
	1254.608128	5517	7.99175293985663066747	0.00048088881911585728
	1256.020480	5517	7.99765312879008789283	-0.00214464684925589535
	1257.432832	5516	8.00355336187023314563	-0.00076073682316603046
	1258.844928	5516	8.00945363911620852350	0.00078217019137687645
	1260.257024	5516	8.01535396054715405627	0.00248414309847473850
	1261.669120	5517	8.02125432618220769385	0.00049473317718031242
	1263.081472	5517	8.02715473604050522120	-0.00133547306610996468
	1264.493824	5517	8.03305519014118043185	-0.00300640674973572626
	1265.906176	5516	8.03895568850336497690	-0.00066748138220006724
	1267.318272	5516	8.04485623114618844318	0.00183085428546557326
	1268.730368	5517	8.05075681808877838611	0.00063815149487223864
	1270.142720	5517	8.05665744935026027773	-0.00039500328470667068
	1271.555072	5517	8.06255812494975752577	-0.00126854120900218412
	1272.967424	5517	8.06845884490639149618	-0.00198239344109725777
	1274.379776	5517	8.07435960923928151313	-0.00253649115142118363
	1275.792128	5517	8.08026041796754487985	-0.00293076551768809054
	1277.204480	5517	8.08616127111029683004	-0.00316514772505907794
	1278.616832	5517	8.09206216868665062156	-0.00323956896578999433
