Change	Time (sec)	Delay(uSec)	Angle(deg)	C length(cm)	Error(arcsec)	
	138.069504	5505	12.92623873253107225512	6.81180000000000000424	0.00054679935188466873
	139.478784	5505	12.93212633737583190565	6.81487878787878788300	-0.00117524421696205662
	140.888064	5505	12.93801396730946145185	6.81795757575757576220	-0.00280696785418394698
	142.297344	5504	12.94390162236043617140	6.82103636363636364097	-0.00049775143121517993
	143.706368	5504	12.94978930255720972822	6.82411515151515151974	0.00190198986756536030
	145.115392	5505	12.95567700792821409349	6.82719393939393939851	0.00054184077969182364
	146.524672	5505	12.96156473850185969834	6.83027272727272727728	-0.00072757879971740090
	147.933952	5505	12.96745249430653545378	6.83335151515151515604	-0.00190616667058733638
	149.343232	5505	12.97334027537060884613	6.83643030303030303525	-0.00299382070996276002
	150.752512	5504	12.97922808172242584157	6.83950909090909091401	-0.00013992125480017021
	152.161536	5504	12.98511591339031112039	6.84258787878787879278	0.00280511604617889080
	153.570560	5505	12.99100377040256803444	6.84566666666666667155	0.00199087546748255270
	154.979840	5505	12.99689165278747863749	6.84874545454545455032	0.00126797644206696581
	156.389120	5505	13.00277956057330383619	6.85182424242424242909	0.00063652070918946029
	157.798400	5505	13.00866749378828329895	6.85490303030303030785	0.00009660993166689658
	159.207680	5505	13.01455545246063561036	6.85798181818181818705	-0.00035165430359879762
	160.616960	5505	13.02044343661855831714	6.86106060606060606582	-0.00070817048544172117
	162.026240	5505	13.02633144629022788393	6.86413939393939394459	-0.00097283717859133780
	163.435520	5505	13.03221948150379986067	6.86721818181818182336	-0.00114555302306307688
	164.844800	5505	13.03810754228740891297	6.87029696969696970213	-0.00122621673406328952
	166.254080	5505	13.04399562866916872667	6.87337575757575758089	-0.00121472710232469765
	167.663360	5505	13.04988374067717229673	6.87645454545454545966	-0.00111098299306091094
	169.072640	5505	13.05577187833949175198	6.87953333333333333886	-0.00091488334660937097
	170.481920	5505	13.06166004168417857194	6.88261212121212121763	-0.00062632717764584114
	171.891200	5505	13.06754823073926353484	6.88569090909090909640	-0.00024521357536610836
	173.300480	5505	13.07343644553275678957	6.88876969696969697517	0.00022855829676280847
	174.709760	5505	13.07932468609264793635	6.89184848484848485393	0.00079508920129897178
	176.119040	5505	13.08521295244690600418	6.89492727272727273270	0.00145447982675564017
	177.528320	5505	13.09110124462347961218	6.89800606060606061147	0.00220683078815475939
	178.937600	5505	13.09698956265029692533	6.90108484848484849067	0.00305224262689557817
	180.346880	5506	13.10287790655526568313	6.90416363636363636944	0.00014029819326986957
	181.756416	5506	13.10876627636627335827	6.90724242424242424821	-0.00267838450025629202
	183.165952	5505	13.11465467211118709687	6.91032121212121212698	-0.00155318751438667295
	184.575232	5505	13.12054309381785383720	6.91340000000000000574	-0.00033452821771005522
	185.984512	5505	13.12643154151410029937	6.91647878787878788451	0.00097769356596655037
	187.393792	5505	13.13232001522773309283	6.91955757575757576328	0.00238357794043502992
	188.803072	5506	13.13820851498653870162	6.92263636363636364248	0.00003270731947000349
	190.212608	5506	13.14409704081828359282	6.92571515151515152125	-0.00222430072007669028
	191.622144	5505	13.14998559275071419138	6.92879393939393940002	-0.00053682867350831987
	193.031424	5505	13.15587417081155703884	6.93187272727272727878	0.00124470565715251627
	194.440704	5505	13.16176277502851869796	6.93495151515151515755	0.00312040201553715867
	195.849984	5506	13.16765140542928590357	6.93803030303030303632	0.00123984245632193743
	197.259520	5506	13.17354006204152558866	6.94110909090909091509	-0.00054635580196527041
	198.669056	5506	13.17942874489288490950	6.94418787878787879429	-0.00223809322956710118
	200.078592	5506	13.18531745401099127078	6.94726666666666667306	-0.00383527036782183821
	201.488128	5505	13.19120618942345245835	6.95034545454545455183	-0.00148727021113352833
	202.897408	5505	13.19709495115785660539	6.95342424242424243059	0.00095548894020748363
	204.306688	5505	13.20298373924177226003	6.95650303030303030936	0.00349310633297647359
	205.715968	5506	13.20887255370274839406	6.95958181818181818813	0.00227516352590221506
	207.125504	5506	13.21476139456831459893	6.96266060606060606690	0.00115227724308573125
	208.535040	5506	13.22065026186598091229	6.96573939393939394610	0.00012454652065981441
	209.944576	5506	13.22653915562323799753	6.96881818181818182487	-0.00080792967499100279
	211.354112	5506	13.23242807586755720624	6.97189696969696970363	-0.00164505244699283756
	212.763648	5506	13.23831702262639056691	6.97497575757575758240	-0.00238672296804954677
	214.173184	5506	13.24420599592717079189	6.97805454545454546117	-0.00303284248039800041
	215.582720	5506	13.25009499579731142224	6.98113333333333333994	-0.00358331229528254461
	216.992256	5505	13.25598402226420683379	6.98421212121212121871	-0.00018751617538636079
	218.401536	5505	13.26187307535523225710	6.98729090909090909791	0.00330412681254647402
	219.810816	5506	13.26776215509774381994	6.99036969696969697667	0.00304119753301599348
	221.220352	5506	13.27365126151907864273	6.99344848484848485544	0.00287431201722509576
	222.629888	5506	13.27954039464655480642	6.99652727272727273421	0.00280356861025900917
	224.039424	5506	13.28542955450747151125	6.99960606060606061298	0.00282906558924096894
	225.448960	5506	13.29131874112910898997	7.00268484848484849175	0.00295090116301074520
	226.858496	5506	13.29720795453872860589	7.00576363636363637095	0.00316917347247127374
	228.268032	5506	13.30309719476357295433	7.00884242424242424972	0.00348398059097162706
	229.677568	5507	13.30898646183086581236	7.01192121212121212848	0.00004490290653710403
	231.087360	5507	13.31487575576781225498	7.01500000000000000725	-0.00329744402498876360
	232.497152	5506	13.32076507660159864210	7.01807878787878788602	-0.00269244471515137819
	233.906688	5506	13.32665442435939271489	7.02115757575757576479	-0.00199051897764218230
	235.316224	5506	13.33254379906834358790	7.02423636363636364355	-0.00119156907565423505
	236.725760	5506	13.33843320075558182714	7.02731515151515152232	-0.00029549733914894882
	238.135296	5506	13.34432262944821951604	7.03039393939393940152	0.00069779383537592979
	239.544832	5506	13.35021208517335019380	7.03347272727272728029	0.00178840198466268716
	240.954368	5506	13.35610156795804904367	7.03655151515151515906	0.00297642457936454092
	242.363904	5507	13.36199107782937282960	7.03963030303030303783	0.00041144140627293418
	243.773696	5507	13.36788061481435994915	7.04270909090909091660	-0.00205593257881999889
	245.183488	5506	13.37377017894003055059	7.04578787878787879536	-0.00057508248580865394
	246.593024	5506	13.37965977023338651208	7.04886666666666667456	0.00100357127449651333
	248.002560	5506	13.38554938872141143909	7.05194545454545455333	0.00268012584308050061
	249.412096	5507	13.39143903443107082307	7.05502424242424243210	0.00060416067814276368
	250.821888	5507	13.39732870738931203025	7.05810303030303031087	-0.00137370959223320126
	252.231680	5507	13.40321840762306427296	7.06118181818181818964	-0.00325338802288361957
	253.641472	5506	13.40910813515923878225	7.06426060606060606840	-0.00118426011580378012
	255.051008	5506	13.41499789002472874458	7.06733939393939394717	0.00098325332690843232
	256.460544	5506	13.42088767224640940764	7.07041818181818182594	0.00324924905613863533
	257.870080	5507	13.42677748185113808296	7.07349696969696970514	0.00176330614064941663
	259.279872	5507	13.43266731886575418749	7.07657575757575758391	0.00037603881990086847
	260.689664	5507	13.43855718331707932260	7.07965454545454546268	-0.00091245634833106750
	262.099456	5507	13.44444707523191725757	7.08273333333333334145	-0.00210208287048659407
	263.509248	5507	13.45033699463705405188	7.08581212121212122021	-0.00319274431675242975
	264.919040	5506	13.45622694155925802312	7.08889090909090909898	-0.00033382670360777962
	266.328576	5506	13.46211691602527980079	7.09196969696969697818	0.00262424865363746659
	267.738112	5507	13.46800691806185239219	7.09504848484848485695	0.00183106037624278472
	269.147904	5507	13.47389694769569122666	7.09812727272727273572	0.00113722225732525002
	270.557696	5507	13.47978700495349416253	7.10120606060606061449	0.00054283040917318245
	271.967488	5507	13.48567708986194153570	7.10428484848484849325	0.00004798088099648911
	273.377280	5507	13.49156720244769622208	7.10736363636363637202	-0.00034723034085529379
	274.787072	5507	13.49745734273740369134	7.11044242424242425079	-0.00064270733268614069
	276.196864	5507	13.50334751075769197052	7.11352121212121212999	-0.00083835423360169331
	277.606656	5507	13.50923770653517174464	7.11660000000000000876	-0.00093407524513747123
	279.016448	5507	13.51512793009643642952	7.11967878787878788753	-0.00092977463099051261
	280.426240	5507	13.52101818146806212848	7.12275757575757576629	-0.00082535671719828036
	281.836032	5507	13.52690846067660775283	7.12583636363636364506	-0.00062072589166903337
	283.245824	5507	13.53279876774861496813	7.12891515151515152383	-0.00031578660441943634
	284.655616	5507	13.53868910271060831390	7.13199393939393940303	0.00008955663290625070
	286.065408	5507	13.54457946558909522961	7.13507272727272728180	0.00059539924708089887
	287.475200	5507	13.55046985641056604254	7.13815151515151516057	0.00120183660328891968
	288.884992	5507	13.55636027520149410920	7.14123030303030303934	0.00190896400560427999
	290.294784	5507	13.56225072198833572681	7.14430909090909091810	0.00271687669670537027
	291.704576	5507	13.56814119679753025908	7.14738787878787879687	0.00362566985830270226
	293.114368	5508	13.57403169965550017006	7.15046666666666667564	0.00078492099369326607
	294.524416	5508	13.57992223058865101804	7.15354545454545455441	-0.00195475721954193342
	295.934464	5507	13.58581278962337153104	7.15662424242424243361	-0.00074275216441518521
	297.344256	5507	13.59170337678603366835	7.15970303030303031238	0.00057051348055707423
	298.754048	5507	13.59759399210299256940	7.16278181818181819114	0.00198513459387848193
	300.163840	5507	13.60348463560058667778	7.16586060606060606991	0.00350120599394857769
	301.573632	5508	13.60937530730513776462	7.16893939393939394868	0.00126830482157243465
	302.983680	5508	13.61526600724295091478	7.17201818181818182745	-0.00086295660737534926
	304.393728	5508	13.62115673544031465517	7.17509696969696970665	-0.00289248365419812673
	305.803776	5507	13.62704749192350093135	7.17817575757575758542	-0.00096966412232378169
	307.213568	5507	13.63293827671876510144	7.18125454545454546419	0.00105507888996698486
	308.623360	5507	13.63882908985234609488	7.18433333333333334295	0.00318183984281963637
	310.033152	5508	13.64471993135046634302	7.18741212121212122172	0.00156019551942531838
	311.443200	5508	13.65061080123933188492	7.19049090909090910049	0.00004075787909018433
	312.853248	5508	13.65650169954513235265	7.19356969696969697926	-0.00137637879551245813
	314.263296	5508	13.66239262629404104584	7.19664848484848485802	-0.00269112028050514703
	315.673344	5507	13.66828358151221496902	7.19972727272727273723	-0.00005285479310624095
	317.083136	5507	13.67417456522579484717	7.20280606060606061599	0.00268799415573683903
	318.492928	5508	13.68006557746090515616	7.20588484848484849476	0.00168100299656036709
